time	RB	Up	A	LS Y
14.988068	0	0	1	0.0
14.991447	0	0	1	0.0
14.991962	0	0	1	0.0
14.995509	0	0	1	0.0
14.996015	0	0	1	0.0
15.002532	0	0	1	0.0
15.003063	0	0	1	0.0
16.369175	0	0	1	0.0
16.369724	0	0	0	0.0
16.370198	0	0	0	0.0
17.993667	0	0	0	0.0
17.994203	0	0	1	0.0
17.994715	0	0	1	0.0
18.517655	0	1	1	0.0
18.518185	0	1	1	0.0
18.882403	0	0	1	0.0
18.88298	0	0	1	0.0
19.296655	0	0	1	0.0
19.297156	0	0	1	0.0
21.03248	0	0	1	0.0
21.032997	0	0	1	0.0
21.641541	0	0	1	0.0
21.642071	0	0	1	0.0
21.642601	0	0	1	0.0
21.643084	0	0	1	0.0
21.647705	0	0	1	0.0
21.648235	0	0	1	0.0
21.648692	0	0	1	0.0
21.655202	0	0	1	0.0
21.655727	0	0	1	0.0
21.656181	0	0	1	0.0
21.684327	0	0	1	0.0
21.684829	0	0	1	0.0
21.685293	0	0	1	0.0
21.685753	0	0	1	0.0
21.93249	0	0	1	0.0
21.933033	0	0	1	0.0
22.260617	0	0	1	0.0
22.261145	0	0	1	0.0
22.680063	0	1	1	0.0
22.680595	0	1	1	0.0
23.52056	0	0	1	0.0
23.521096	0	0	1	0.0
23.556793	0	0	1	0.0
23.557322	0	0	1	0.0
23.557814	0	0	1	0.0
23.558299	0	0	1	0.0
23.561711	0	0	1	0.0
23.562235	0	0	1	0.0
23.562834	0	0	1	0.0
23.563325	0	0	1	0.0
23.784352	0	0	1	0.0
23.784869	0	0	1	0.0
23.78555	0	0	1	0.0
23.78676	0	0	1	0.0
23.787994	0	0	1	0.0
23.788475	0	0	1	0.0
23.792611	0	0	1	0.0
23.793947	0	0	1	0.0
23.799653	0	0	1	0.0
23.800169	0	0	1	0.0
23.934147	0	0	1	0.0
23.934704	0	0	1	0.0
24.864031	0	0	1	0.0
24.86455	1	0	1	0.0
24.865002	1	0	1	0.0
24.91806	1	0	1	0.0
24.918646	1	0	1	0.0
24.919127	1	0	1	0.0
25.531316	1	0	1	0.0
25.531864	1	0	1	0.0
25.532338	1	0	1	0.0
25.656683	1	0	1	0.0
25.657194	0	0	1	0.0
25.657679	0	0	1	0.0
25.768452	0	0	1	0.0
25.768989	0	0	1	0.0
25.769469	0	0	1	0.0
25.769943	0	0	1	0.0
25.770405	0	0	1	0.0
25.774197	0	0	1	0.0
25.774795	0	0	1	0.0
25.775307	0	0	1	0.0
25.775808	0	0	1	0.0
25.776275	0	0	1	0.0
26.270784	0	0	1	0.0
26.271284	0	0	1	0.0
26.271755	0	0	1	0.0
26.272239	0	0	1	0.0
26.2727	0	0	1	0.0
26.273171	0	0	1	0.0
26.273634	0	0	1	0.0
26.274089	0	0	1	0.0
26.274591	0	0	1	0.0
26.275056	0	0	1	0.0
26.718049	0	0	1	0.0
26.718615	0	0	1	0.0
26.923571	0	0	1	0.0
26.924108	0	0	0	0.0
26.924565	0	0	0	0.0
28.332635	0	0	0	0.0
28.333162	0	0	1	0.0
28.333624	0	0	1	0.0
28.868229	0	0	1	0.0
28.868744	1	0	1	0.0
28.869191	1	0	1	0.0
29.189618	1	1	1	0.0
29.190261	1	1	1	0.0
29.349642	1	0	1	0.0
29.350156	1	0	1	0.0
29.726704	1	0	1	0.0
29.727241	1	0	1	0.0
30.054215	1	0	1	0.0
30.054821	1	0	1	0.0
30.401804	1	1	1	0.0
30.402345	1	1	1	0.0
30.676758	1	0	1	0.0
30.677247	1	0	1	0.0
31.040287	1	1	1	0.0
31.0408	1	1	1	0.0
31.462734	1	0	1	0.0
31.463253	1	0	1	0.0
31.866659	1	0	1	0.0
31.867247	1	0	1	0.0
32.057783	1	0	1	0.0
32.058287	1	0	1	0.0
32.720719	1	1	1	0.0
32.721226	1	1	1	0.0
32.789704	1	0	1	0.0
32.79037	1	0	1	0.0
33.473201	1	0	1	0.0
33.47375	0	0	1	0.0
33.474219	0	0	1	0.0
33.819546	0	0	1	0.0
33.820092	0	0	1	0.0
33.820577	0	0	1	0.0
33.821045	0	0	1	0.0
33.824517	0	0	1	0.0
33.825024	0	0	1	0.0
33.864057	0	0	1	0.0
33.864589	0	0	1	0.0
34.313133	0	0	1	0.0
34.313673	0	0	1	0.0
34.35733	0	0	1	0.0
34.357865	0	0	1	0.0
34.358349	0	0	1	0.0
34.358855	0	0	1	0.0
34.362219	0	0	1	0.0
34.362791	0	0	1	0.0
34.937893	0	0	1	0.0
34.938413	0	0	1	0.0
34.93892	0	0	1	0.0
34.93937	0	0	1	0.0
34.939822	1	0	1	0.0
34.940262	1	0	1	0.0
35.226028	1	0	1	0.0
35.226638	1	0	1	0.0
35.542621	1	0	1	0.0
35.543316	1	0	1	0.0
35.824153	1	1	1	0.0
35.824936	1	1	1	0.0
37.423961	1	0	1	0.0
37.426202	1	0	1	0.0
40.634592	1	1	1	0.0
40.635159	1	1	1	0.0
41.208826	1	0	1	0.0
41.209364	1	0	1	0.0
41.551252	1	0	1	0.0
41.551778	1	0	1	0.0
42.339942	1	0	1	0.0
42.340501	1	0	1	0.0
42.615092	1	0	1	0.0
42.615666	0	0	1	0.0
42.616153	0	0	1	0.0
42.653301	0	0	1	0.0
42.653847	0	0	1	0.0
42.654328	0	0	1	0.0
42.798034	0	0	1	0.0
42.798605	0	0	1	0.0
42.805616	0	0	1	0.0
42.806159	0	0	1	0.0
42.806674	0	0	1	0.0
42.831923	0	0	1	0.0
42.832478	0	0	1	0.0
42.832957	0	0	1	0.0
42.833438	0	0	1	0.0
42.833899	0	0	1	0.0
42.846867	0	0	1	0.0
42.847663	0	0	1	0.0
43.056516	0	0	1	0.0
43.057059	0	0	1	0.0
43.383592	0	0	1	0.0
43.384172	0	0	1	0.0
43.757888	0	1	1	0.0
43.758436	0	1	1	0.0
45.22627	0	0	1	0.0
45.226915	0	0	1	0.0
45.27836	0	0	1	0.0
45.278983	0	0	1	0.0
45.282509	0	0	1	0.0
45.28306	0	0	1	0.0
45.308424	0	0	1	0.0
45.308974	0	0	1	0.0
45.496539	0	0	1	0.0
45.497108	1	0	1	0.0
45.497608	1	0	1	0.0
45.839959	1	0	1	0.0
45.840941	1	0	1	0.0
46.174916	1	0	1	0.0
46.175499	1	0	1	0.0
46.788311	1	0	1	0.0
46.788862	1	0	1	0.0
46.789336	1	0	1	0.0
46.789801	1	0	1	0.0
46.793529	1	0	1	0.0
46.794062	1	0	1	0.0
46.794572	1	0	1	0.0
46.795048	1	0	1	0.0
46.798365	1	0	1	0.0
46.798928	1	0	1	0.0
46.803663	1	0	1	0.0
46.80417	1	0	1	0.0
47.141895	1	0	1	0.0
47.142444	0	0	1	0.0
47.142989	0	0	1	0.0
47.321977	0	0	1	0.0
47.322564	0	0	1	0.0
48.792024	0	0	1	0.0
48.792556	0	0	1	0.0
49.114978	0	0	1	0.0
49.115515	0	0	0	0.0
49.115973	0	0	0	0.0
50.389391	0	0	0	0.0
50.389741	0	0	0	0.0
50.390023	0	0	0	0.0
50.393146	0	0	0	0.0
50.39348	0	0	0	0.0
50.393777	0	0	0	0.0
50.394051	0	0	0	0.0
50.394333	0	0	0	0.0
50.394639	0	0	0	0.0
50.394931	0	0	0	0.0
50.395204	0	0	0	0.0
50.405024	0	0	0	0.0
50.405358	0	0	0	0.0
50.405645	0	0	0	0.0
50.405917	0	0	0	0.0
50.436992	0	0	0	0.0
50.437326	0	0	0	0.0
50.437616	0	0	0	0.0
50.437889	0	0	0	0.0
50.440969	0	0	0	0.0
50.441284	0	0	0	0.0
50.441569	0	0	0	0.0
50.441844	0	0	0	0.0
50.446807	0	0	0	0.0
50.447134	0	0	0	0.0
50.483202	0	0	0	0.0
50.483538	0	0	0	0.0
50.483827	0	0	0	0.0
50.484099	0	0	0	0.0
50.492186	0	0	0	0.0
50.492508	0	0	0	0.0
50.519789	0	0	0	0.0
50.520116	0	0	0	0.0
50.520401	0	0	0	0.0
50.520672	0	0	0	0.0
50.523829	0	0	0	0.0
50.524157	0	0	0	0.0
50.524448	0	0	0	0.0
50.52473	0	0	0	0.0
50.525001	0	0	0	0.0
50.530599	0	0	0	0.0
50.530917	0	0	0	0.0
50.557141	0	0	0	0.0
50.557478	0	0	0	0.0
50.624898	0	0	0	0.0
50.625225	0	0	0	0.0
